prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
DD8376,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,SILVER,designer damask,damasks,#,/images/damask/DD8376.jpg
DD8472,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/DD8472.jpg
DD8375,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,TEAL,GOLDEN,designer damask,damasks,#,/images/damask/DD8375.jpg
DD8471,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,TEAL,GOLDEN,designer damask,damasks,#,/images/damask/DD8471.jpg
EK4230,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,GOLDEN,designer damask,damasks,#,/images/damask/EK4230.jpg
DD8373,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BEIGE,GOLDEN,designer damask,damasks,#,/images/damask/DD8373.jpg
EK4232,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,MUSTARD,GOLDEN,designer damask,damasks,#,/images/damask/EK4232.jpg
DD8378,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,GOLDEN,designer damask,damasks,#,/images/damask/DD8378.jpg
DD8469,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,WHITE,designer damask,damasks,#,/images/damask/DD8469.jpg
DD8372,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,WHITE,designer damask,damasks,#,/images/damask/DD8372.jpg
EK4232,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,MUSTARD,GOLDEN,designer damask,damasks,#,/images/damask/EK4232.jpg
DD8377,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,RED,GOLDEN,designer damask,damasks,#,/images/damask/DD8377.jpg
DD8434,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,SILVER,designer damask,damasks,#,/images/damask/DD8434.jpg
DD8433,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,SILVER,BLUE,designer damask,damasks,#,/images/damask/DD8433.jpg
CO2084,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,NA,designer damask,damasks,#,/images/damask/CO2084.jpg
CO2085,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,NA,designer damask,damasks,#,/images/damask/CO2085.jpg
DE9000,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GOLDEN,NA,designer damask,damasks,#,/images/damask/DE9000.jpg
DE9001,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,GREY,NA,designer damask,damasks,#,/images/damask/DE9001.jpg
ND7092,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,NA,designer damask,damasks,#,/images/damask/ND7092.jpg
DD8432,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,WHITE,designer damask,damasks,#,/images/damask/DD8432.jpg
DD8435,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,DARK GREY,GREY,designer damask,damasks,#,/images/damask/DD8435.jpg
DD8444,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,PINK,designer damask,damasks,#,/images/damask/DD8444.jpg
DD8446,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,WHITE,GREY,designer damask,damasks,#,/images/damask/DD8446.jpg
DD8445,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,BLUE,WHITE,designer damask,damasks,#,/images/damask/DD8445.jpg
EK4234,DESIGNER DAMASKS,YORK WALLCOVERINGS,RONALD REDDING DESIGNS,MUSTARD,NA,designer damask,damasks,#,/images/damask/EK4234.jpg
