prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
MS6491,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,LAVENDER MAGENTA,Modern Shapes,shapes,#,/images/modern/MS6491.jpg
MS6507,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PASTEL GREY,NA,Modern Shapes,shapes,#,/images/modern/MS6507.jpg
EB2098,MODERN_SHAPES,YORK,CARY LIND DESIGNS,SKY MAGENTA,NA,Modern Shapes,shapes,#,/images/modern/EB2098.jpg
MS6513,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,GREY,Modern Shapes,shapes,#,/images/modern/MS6513.jpg
MS6493,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6493.jpg
MS6507,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,NA,Modern Shapes,shapes,#,/images/modern/MS6507.jpg
MS6499,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PEARL,WHITE,Modern Shapes,shapes,#,/images/modern/MS6499.jpg
MS6509,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,SILVER,Modern Shapes,shapes,#,/images/modern/MS6509.jpg
MS6516,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6516.jpg
MS6488,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,FRENCH BLUE,Modern Shapes,shapes,#,/images/modern/MS6488.jpg
EB2100,MODERN_SHAPES,YORK,CARY LIND DESIGNS,LIGHT GREEN,NA,Modern Shapes,shapes,#,/images/modern/EB2100.jpg
WT4548,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNFLOWER BLUE,NA,Modern Shapes,shapes,#,/images/modern/WT4548.jpg
MS6512,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNSILK,HAN BLUE,Modern Shapes,shapes,#,/images/modern/MS6512.jpg
MS6496,MODERN_SHAPES,YORK,CARY LIND DESIGNS,DARK PASTEL BLUE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6496.jpg
MS6490,MODERN_SHAPES,YORK,CARY LIND DESIGNS,LEMON,APPLE GREEN,Modern Shapes,shapes,#,/images/modern/MS6490.jpg
EB2101,MODERN_SHAPES,YORK,CARY LIND DESIGNS,NON PHOTO BLUE,NA,Modern Shapes,shapes,#,/images/modern/EB2101.jpg
MS6498,MODERN_SHAPES,YORK,CARY LIND DESIGNS,IVORY,GOLDEN,Modern Shapes,shapes,#,/images/modern/MS6498.jpg
MS6506,MODERN_SHAPES,YORK,CARY LIND DESIGNS,STRAW,WHITE,Modern Shapes,shapes,#,/images/modern/MS6506.jpg
MS6514,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,DARK SEA GREEN,Modern Shapes,shapes,#,/images/modern/MS6514.jpg
MS6492,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,TURQUOISE GREEN,Modern Shapes,shapes,#,/images/modern/MS6492.jpg
MS6508,MODERN_SHAPES,YORK,CARY LIND DESIGNS,TURQUISE GREEN,SILVER,Modern Shapes,shapes,#,/images/modern/MS6508.jpg
MS6500,MODERN_SHAPES,YORK,CARY LIND DESIGNS,AZURE MIST / WEB,WHITE,Modern Shapes,shapes,#,/images/modern/MS6500.jpg
MS6509,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6509.jpg
MS6515,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6515.jpg
MS6501,MODERN_SHAPES,YORK,CARY LIND DESIGNS,JUNE BUD,WHITE,Modern Shapes,shapes,#,/images/modern/MS6501.jpg
MS6403,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,CARNATION PINK,Modern Shapes,shapes,#,/images/modern/MS6403.jpg
MS6483,MODERN_SHAPES,YORK,CARY LIND DESIGNS,SILVER,WHITE,Modern Shapes,shapes,#,/images/modern/MS6483.jpg
MS6419,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,GREEN,Modern Shapes,shapes,#,/images/modern/MS6419.jpg
EB2100,MODERN_SHAPES,YORK,CARY LIND DESIGNS,JUNE BUD,NA,Modern Shapes,shapes,#,/images/modern/EB2100.jpg
MS6411,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,SILVER,Modern Shapes,shapes,#,/images/modern/MS6411.jpg
MS6404,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,FRENCH BLUE,Modern Shapes,shapes,#,/images/modern/MS6404.jpg
MS6480,MODERN_SHAPES,YORK,CARY LIND DESIGNS,FLAX,FLORAL WHITE,Modern Shapes,shapes,#,/images/modern/MS6480.jpg
MS6420,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,BLUE,Modern Shapes,shapes,#,/images/modern/MS6420.jpg
WT4548,MODERN_SHAPES,YORK,CARY LIND DESIGNS,FRENCH BLUE,NA,Modern Shapes,shapes,#,/images/modern/WT4548.jpg
MS6412,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,FRENCH BLUE,Modern Shapes,shapes,#,/images/modern/MS6412.jpg
MS6400,MODERN_SHAPES,YORK,CARY LIND DESIGNS,FLORAL WHITE,PALE RED VIOLET,Modern Shapes,shapes,#,/images/modern/MS6400.jpg
MS6484,MODERN_SHAPES,YORK,CARY LIND DESIGNS,SILVER,WHITE,Modern Shapes,shapes,#,/images/modern/MS6484.jpg
MS6417,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,WHITE,Modern Shapes,shapes,#,/images/modern/MS6417.jpg
EB2098,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PALE VIOLET RED,NA,Modern Shapes,shapes,#,/images/modern/EB2098.jpg
MS6408,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,RASPBERRY PINK,Modern Shapes,shapes,#,/images/modern/MS6408.jpg
MS6401,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNSILK,HONEYDEW,Modern Shapes,shapes,#,/images/modern/MS6401.jpg
MS6482,MODERN_SHAPES,YORK,CARY LIND DESIGNS,HONEYDEW,WHITE,Modern Shapes,shapes,#,/images/modern/MS6482.jpg
EB2101,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CORNFLOWER,NA,Modern Shapes,shapes,#,/images/modern/EB2101.jpg
MS6409,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,LIGHT KHAKHI,Modern Shapes,shapes,#,/images/modern/MS6409.jpg
MS6416,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PEARL,WHITE,Modern Shapes,shapes,#,/images/modern/MS6416.jpg
MS6485,MODERN_SHAPES,YORK,CARY LIND DESIGNS,FLAVESCENT,WHITE,Modern Shapes,shapes,#,/images/modern/MS6485.jpg
MS6451,MODERN_SHAPES,YORK,CARY LIND DESIGNS,GOLDEN ROD,WHITE,Modern Shapes,shapes,#,/images/modern/MS6451.jpg
MS6476,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,GOLDEN,Modern Shapes,shapes,#,/images/modern/MS6476.jpg
MS6509,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,SILVER,Modern Shapes,shapes,#,/images/modern/MS6509.jpg
MS6459,MODERN_SHAPES,YORK,CARY LIND DESIGNS,FLAX,WHITE,Modern Shapes,shapes,#,/images/modern/MS6459.jpg
MS6448,MODERN_SHAPES,YORK,CARY LIND DESIGNS,ANDROID GREEN,WHITE,Modern Shapes,shapes,#,/images/modern/MS6448.jpg
MS6461,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,GREY,Modern Shapes,shapes,#,/images/modern/MS6461.jpg
MS6507,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,SILVER,Modern Shapes,shapes,#,/images/modern/MS6507.jpg
MS6474,MODERN_SHAPES,YORK,CARY LIND DESIGNS,PEARL,WHITE,Modern Shapes,shapes,#,/images/modern/MS6474.jpg
MS6449,MODERN_SHAPES,YORK,CARY LIND DESIGNS,LIGHT CYAN,WHITE,Modern Shapes,shapes,#,/images/modern/MS6449.jpg
MS6472,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CREAM,WHITE,Modern Shapes,shapes,#,/images/modern/MS6472.jpg
MS6505,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,CREAM,Modern Shapes,shapes,#,/images/modern/MS6505.jpg
MS6457,MODERN_SHAPES,YORK,CARY LIND DESIGNS,MINT CREAM,GREY,Modern Shapes,shapes,#,/images/modern/MS6457.jpg
MS6453,MODERN_SHAPES,YORK,CARY LIND DESIGNS,EGGSHELL,WHITE,Modern Shapes,shapes,#,/images/modern/MS6453.jpg
MS6458,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,GREY,Modern Shapes,shapes,#,/images/modern/MS6458.jpg
MS6505,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BEIGE,CREAM,Modern Shapes,shapes,#,/images/modern/MS6505.jpg
MS6473,MODERN_SHAPES,YORK,CARY LIND DESIGNS,BLOND,WHITE,Modern Shapes,shapes,#,/images/modern/MS6473.jpg
MS6460,MODERN_SHAPES,YORK,CARY LIND DESIGNS,WHITE,ORANGE,Modern Shapes,shapes,#,/images/modern/MS6460.jpg
NW6515,MODERN_SHAPES,YORK,CARY LIND DESIGNS,MEDIUM CHAMPAGNE,NA,Modern Shapes,shapes,#,/images/modern/NW6515.jpg
MS6491,MODERN_SHAPES,YORK,CARY LIND DESIGNS,CADMIUM ORANGE,GOLDEN,Modern Shapes,shapes,#,/images/modern/MS6491.jpg
