prod_name,Collection,supplier,color,pattern,category,cat_name,link,image
JC5945,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC5945.jpg
JC6023,OPAL_ESSENCE,YORK,GOLD,NA,opal essence,opal,#,/images/opal/JC6023.jpg
JC6019,OPAL_ESSENCE,YORK,GOLD,GREY,opal essence,opal,#,/images/opal/JC6019.jpg
JC5941,OPAL_ESSENCE,YORK,GOLD,GREY,opal essence,opal,#,/images/opal/JC5941.jpg
JC6022,OPAL_ESSENCE,YORK,GOLD,BEIGE,opal essence,opal,#,/images/opal/JC6022.jpg
JC5944,OPAL_ESSENCE,YORK,GOLD,BEIGE,opal essence,opal,#,/images/opal/JC5944.jpg
JC6020,OPAL_ESSENCE,YORK,GOLD,BROWN,opal essence,opal,#,/images/opal/JC6020.jpg
JC5942,OPAL_ESSENCE,YORK,GOLD,BROWN,opal essence,opal,#,/images/opal/JC5942.jpg
JC6021,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC6021.jpg
JC5943,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC5943.jpg
JC5940,OPAL_ESSENCE,YORK,MUSTARD,WHITE,opal essence,opal,#,/images/opal/JC5940.jpg
JC6018,OPAL_ESSENCE,YORK,MUSTARD,WHITE,opal essence,opal,#,/images/opal/JC6018.jpg
JC5903,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5903.jpg
JC5913,OPAL_ESSENCE,YORK,SILVER,PINK,opal essence,opal,#,/images/opal/JC5913.jpg
JC5921,OPAL_ESSENCE,YORK,GOLD,WHITE,opal essence,opal,#,/images/opal/JC5921.jpg
JC5923,OPAL_ESSENCE,YORK,GRREN,NA,opal essence,opal,#,/images/opal/JC5923.jpg
JC5905,OPAL_ESSENCE,YORK,SILVER,PURPLE,opal essence,opal,#,/images/opal/JC5905.jpg
JC5925,OPAL_ESSENCE,YORK,BROWN,WHITE,opal essence,opal,#,/images/opal/JC5925.jpg
JC5915,OPAL_ESSENCE,YORK,SILVER,PURPLE,opal essence,opal,#,/images/opal/JC5915.jpg
JC5902,OPAL_ESSENCE,YORK,WHITE,PINK,opal essence,opal,#,/images/opal/JC5902.jpg
JC5922,OPAL_ESSENCE,YORK,PINK,NA,opal essence,opal,#,/images/opal/JC5922.jpg
JC5912,OPAL_ESSENCE,YORK,WHITE,RED,opal essence,opal,#,/images/opal/JC5912.jpg
JC5900,OPAL_ESSENCE,YORK,BEIGE,GOLD,opal essence,opal,#,/images/opal/JC5900.jpg
JC5920,OPAL_ESSENCE,YORK,BEIGE,WHITE,opal essence,opal,#,/images/opal/JC5920.jpg
JC5910,OPAL_ESSENCE,YORK,BEIGE,GREY,opal essence,opal,#,/images/opal/JC5910.jpg
