prod_name,Collection,supplier,brand,color,pattern,cat_name,link,image,category
RRD7177,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,WHITE,NA,silverleaf,#,/images/Silver_Leaf/RRD7177.jpg,Silver Leaf II
RRD7174,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7174.jpg,Silver Leaf II
RRD7182,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,NA,silverleaf,#,/images/Silver_Leaf/RRD7182.jpg,Silver Leaf II
RRD7170,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,BEIGE,silverleaf,#,/images/Silver_Leaf/RRD7170.jpg,Silver Leaf II
RRD7176,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7176.jpg,Silver Leaf II
RRD7181,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/RRD7181.jpg,Silver Leaf II
RRD7178,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/RRD7178.jpg,Silver Leaf II
RRD7175,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,NA,silverleaf,#,/images/Silver_Leaf/RRD7175.jpg,Silver Leaf II
RRD7171,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREY,BEIGE,silverleaf,#,/images/Silver_Leaf/RRD7171.jpg,Silver Leaf II
RRD7166,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7166.jpg,Silver Leaf II
RRD7167,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7167.jpg,Silver Leaf II
RRD7179,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,BEIGE,NA,silverleaf,#,/images/Silver_Leaf/RRD7179.jpg,Silver Leaf II
RRD7173,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,PINK,MAROON,silverleaf,#,/images/Silver_Leaf/RRD7173.jpg,Silver Leaf II
RRD7172,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GREEN,NA,silverleaf,#,/images/Silver_Leaf/RRD7172.jpg,Silver Leaf II
RRD7168,SILVER_LEAF,YORK,RONALD REDDING DESIGNS,GOLDEN,BEIGE,silverleaf,#,/images/Silver_Leaf/RRD7168.jpg,Silver Leaf II
