prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
TP 1506,TEXTURED PLAINS,GRANDECO,DECO4WALLS,COPPER,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1506.jpg
TP 1504,TEXTURED PLAINS,GRANDECO,DECO4WALLS,SILVER,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1504.jpg
TP 1503,TEXTURED PLAINS,GRANDECO,DECO4WALLS,WHITE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1503.jpg
TP 1505,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1505.jpg
TP 1507,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BROWN,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1507.jpg
TP 1008,TEXTURED PLAINS,GRANDECO,DECO4WALLS,DARK GREY,SILVER,Textured Plains,texturedplains,#,/images/textured_plains/TP 1008.jpg
TP 1010,TEXTURED PLAINS,GRANDECO,DECO4WALLS,SILVER,GREY,Textured Plains,texturedplains,#,/images/textured_plains/TP 1010.jpg
TP 1011,TEXTURED PLAINS,GRANDECO,DECO4WALLS,SILVER,WHITE,Textured Plains,texturedplains,#,/images/textured_plains/TP 1011.jpg
TP 1405,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1405.jpg
TP 1402,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BEIGE,GOLDEN,Textured Plains,texturedplains,#,/images/textured_plains/TP 1402.jpg
TP 1407,TEXTURED PLAINS,GRANDECO,DECO4WALLS,GREY,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1407.jpg
TP 1403,TEXTURED PLAINS,GRANDECO,DECO4WALLS,WHITE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1403.jpg
TP 1404,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1404.jpg
TP 1406,TEXTURED PLAINS,GRANDECO,DECO4WALLS,GREY,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1406.jpg
TP 3001,TEXTURED PLAINS,GRANDECO,DECO4WALLS,COPPER ,BROWN,Textured Plains,texturedplains,#,/images/textured_plains/TP 3001.jpg
TP 3002,TEXTURED PLAINS,GRANDECO,DECO4WALLS,SILVER,GREY,Textured Plains,texturedplains,#,/images/textured_plains/TP 3002.jpg
TP 3003,TEXTURED PLAINS,GRANDECO,DECO4WALLS,SILVER,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 3003.jpg
TP 3005,TEXTURED PLAINS,GRANDECO,DECO4WALLS,SILVER ,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 3005.jpg
TP 3004,TEXTURED PLAINS,GRANDECO,DECO4WALLS,SILVER ,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 3004.jpg
TP 1604,TEXTURED PLAINS,GRANDECO,DECO4WALLS,LIGHT PINK,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1604.jpg
TP 1603,TEXTURED PLAINS,GRANDECO,DECO4WALLS,GREY,SILVER,Textured Plains,texturedplains,#,/images/textured_plains/TP 1603.jpg
TP 1606,TEXTURED PLAINS,GRANDECO,DECO4WALLS,WHITE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1606.jpg
TP 1607,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1607.jpg
TP 1605,TEXTURED PLAINS,GRANDECO,DECO4WALLS,GREEN,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1605.jpg
TP 1608,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BLUE ,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1608.jpg
TP 1604,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BLUE ,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1604.jpg
TP 1204,TEXTURED PLAINS,GRANDECO,DECO4WALLS,GREY,BEIGE,Textured Plains,texturedplains,#,/images/textured_plains/TP 1204.jpg
TP 1201,TEXTURED PLAINS,GRANDECO,DECO4WALLS,WHITE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1201.jpg
TP 1202,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1202.jpg
TP 1203,TEXTURED PLAINS,GRANDECO,DECO4WALLS,BEIGE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1203.jpg
TP 1206,TEXTURED PLAINS,GRANDECO,DECO4WALLS,GOLDEN,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1206.jpg
TP 1105,TEXTURED PLAINS,GRANDECO,DECO4WALLS,PURPLE ,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1105.jpg
TP 1104,TEXTURED PLAINS,GRANDECO,DECO4WALLS,GREY,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1104.jpg
TP 1101,TEXTURED PLAINS,GRANDECO,DECO4WALLS,WHITE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1101.jpg
TP 1102,TEXTURED PLAINS,GRANDECO,DECO4WALLS,WHITE,NA,Textured Plains,texturedplains,#,/images/textured_plains/TP 1102.jpg
TP 1103,TEXTURED PLAINS,GRANDECO,DECO4WALLS,WHITE,BROWN,Textured Plains,texturedplains,#,/images/textured_plains/TP 1103.jpg
