prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
VB2010,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB2010.jpg
VB4082,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB4082.jpg
VB1110,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1110.jpg
VB1102,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1102.jpg
VB1003,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1003.jpg
VB3105,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,BEIGE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3105.jpg
VB3201,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,PURPLE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3201.jpg
VB1107,VILLA BORGHESE,GRANDECO,DECO4WALLS,GOLD,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1107.jpg
VB1108,VILLA BORGHESE,GRANDECO,DECO4WALLS,GREY,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1108.jpg
VB2008,VILLA BORGHESE,GRANDECO,DECO4WALLS,SILVER,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB2008.jpg
VB1001,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB1001.jpg
VB3301,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,BEIGE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3301.jpg
VB3101,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GREY,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB3101.jpg
VP3302,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,BEIGE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VP3302.jpg
VP1002,VILLA BORGHESE,GRANDECO,DECO4WALLS,GOLD,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VP1002.jpg
VP3003,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,PINK,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VP3003.jpg
VP1006,VILLA BORGHESE,GRANDECO,DECO4WALLS,GOLD,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VP1006.jpg
VP1003,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VP1003.jpg
VP1007,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,NA,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VP1007.jpg
VP3308,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,BEIGE,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VP3308.jpg
VB4092,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB4092.jpg
VB2002,VILLA BORGHESE,GRANDECO,DECO4WALLS,BEIGE,GOLD,Villa Borghese,villa_borghese,#,/images/Villa_Borghese/VB2002.jpg
