prod_name,Collection,supplier,brand,color,pattern,category,cat_name,link,image
VP2201,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,GREY,BLUE,Village People,villagepeople,#,/images/village_people/VP2201.jpg
VP1203,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1203.jpg
VP1201,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1201.jpg
VP2203,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,PINK,Village People,villagepeople,#,/images/village_people/VP2203.jpg
VP1204,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,BROWN,NA,Village People,villagepeople,#,/images/village_people/VP1204.jpg
VP1202,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1202.jpg
VP2202,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,GREY,Village People,villagepeople,#,/images/village_people/VP2202.jpg
VP2204,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,GREEN,Village People,villagepeople,#,/images/village_people/VP2204.jpg
VP2205,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,BEIGE,Village People,villagepeople,#,/images/village_people/VP2205.jpg
VP2101,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,RED,YELLOW,Village People,villagepeople,#,/images/village_people/VP2101.jpg
VP1103,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,GREEN,NA,Village People,villagepeople,#,/images/village_people/VP1103.jpg
VP1107,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,BLUE,NA,Village People,villagepeople,#,/images/village_people/VP1107.jpg
VP1104,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,RED,NA,Village People,villagepeople,#,/images/village_people/VP1104.jpg
VP1106,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1106.jpg
VP2104,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,PINK,Village People,villagepeople,#,/images/village_people/VP2104.jpg
VP1108,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,BLUE,NA,Village People,villagepeople,#,/images/village_people/VP1108.jpg
VP2105,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,PURPLE,RED,Village People,villagepeople,#,/images/village_people/VP2105.jpg
VP1101,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,BEIGE,NA,Village People,villagepeople,#,/images/village_people/VP1101.jpg
VP1105,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,PURPLE,NA,Village People,villagepeople,#,/images/village_people/VP1105.jpg
VP2102,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,SILVER,Village People,villagepeople,#,/images/village_people/VP2102.jpg
VP2003,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,PINK,Village People,villagepeople,#,/images/village_people/VP2003.jpg
VP2002,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,BLACK,Village People,villagepeople,#,/images/village_people/VP2002.jpg
VP1001,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,GREY,NA,Village People,villagepeople,#,/images/village_people/VP1001.jpg
VP1005,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,BEIGE,NA,Village People,villagepeople,#,/images/village_people/VP1005.jpg
VP1003,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,BLUE,NA,Village People,villagepeople,#,/images/village_people/VP1003.jpg
VP2001,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,BLACK,Village People,villagepeople,#,/images/village_people/VP2001.jpg
VP3101,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,WHITE,PURPLE,Village People,villagepeople,#,/images/village_people/VP3101.jpg
VP3104,VILLAGE PEOPLE,GRANDECO,DECO4WALLS,BEIGE,BROWN,Village People,villagepeople,#,/images/village_people/VP3104.jpg
