prod_name,collection,supplier,brand,color,pattern,category,cat_name,link,image
WP2481,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLUE,SILVER,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2481.jpg
WP2495,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2495.jpg
WP2436,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2436.jpg
WP2456,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2456.jpg
WP2458,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,YELLOW,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2458.jpg
WA7814,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN ,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7814.jpg
WP2468,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,SILVER,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2468.jpg
WP2410,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2410.jpg
WP2401,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2401.jpg
WA7788,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,BEIGE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7788.jpg
WP2488,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2488.jpg
WP2487,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2487.jpg
WP2489,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2489.jpg
WP2418,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,SILVER,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2418.jpg
WP2445,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2445.jpg
ER8124,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,BLUE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8124.jpg
WA7820,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7820.jpg
WA7790,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7790.jpg
WP2470,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BLUE,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2470.jpg
WA7817,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7817.jpg
WP2498,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2498.jpg
ER8188,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,GREEN ,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8188.jpg
ER8242,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8242.jpg
WP2473,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2473.jpg
WP2490,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2490.jpg
ER8125,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,GREEN,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8125.jpg
WP2477,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2477.jpg
WP2515,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREEN,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2515.jpg
ER8237,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/ER8237.jpg
WP2409,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,GREY,WHITE,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2409.jpg
WP2457,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,YELLOW,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2457.jpg
WA7811,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,BEIGE,NA,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WA7811.jpg
WP2417,WAVERLY_SMALL _PRINTS,YORK,WAVERLY,WHITE,GREY,Waverly Small Print,smallprints,#,/images/WAVERLY_SMALL_PRINTS/WP2417.jpg
